Code postal,Localité,Sous-commune,Province,Langue
2970,'S Gravenwezel,Oui,Anvers,FR_BE
3700,'S Herenelderen,Oui,Limbourg,FR_BE
7510,3 Suisses,,,FR_BE
9420,Aaigem,Oui,Flandre-Orientale,FR_BE
8511,Aalbeke,Oui,Flandre-Occidentale,FR_BE
3800,Aalst,Oui,Limbourg,FR_BE
9300,AALST,Non,Flandre-Orientale,FR_BE
9880,AALTER,Non,Flandre-Orientale,FR_BE
3200,AARSCHOT,Non,Brabant Flamand,FR_BE
8700,Aarsele,Oui,Flandre-Occidentale,FR_BE
8211,Aartrijke,Oui,Flandre-Occidentale,FR_BE
2630,AARTSELAAR,Non,Anvers,FR_BE
4557,Abée,Oui,Liège,FR_BE
4280,Abolens,Oui,Liège,FR_BE
3930,Achel,Oui,Limbourg,FR_BE
5590,Achêne,Oui,Namur,FR_BE
5362,Achet,Oui,Namur,FR_BE
4219,Acosse,Oui,Liège,FR_BE
6280,Acoz,Oui,Hainaut,FR_BE
9991,Adegem,Oui,Flandre-Orientale,FR_BE
8660,Adinkerke,Oui,Flandre-Occidentale,FR_BE
1790,AFFLIGEM,Non,Brabant Flamand,FR_BE
9051,Afsnee,Oui,Flandre-Orientale,FR_BE
5544,Agimont,Oui,Namur,FR_BE
4317,Aineffe,Oui,Liège,FR_BE
5310,Aische-En-Refail,Oui,Namur,FR_BE
6250,Aiseau,Oui,Hainaut,FR_BE
6250,AISEAU-PRESLES,Non,Hainaut,FR_BE
5070,Aisemont,Oui,Namur,FR_BE
3570,ALKEN,Non,Limbourg,FR_BE
5550,Alle,Oui,Namur,FR_BE
4432,Alleur,Oui,Liège,FR_BE
1652,Alsemberg,Oui,Brabant Flamand,FR_BE
8690,ALVERINGEM,Non,Flandre-Occidentale,FR_BE
4540,AMAY,Non,Liège,FR_BE
6680,Amberloup,Oui,Luxembourg,FR_BE
4770,AMBLÈVE,Non,Liège,FR_BE
6953,Ambly,Oui,Luxembourg,FR_BE
4219,Ambresin,Oui,Liège,FR_BE
6997,Amonines,Oui,Luxembourg,FR_BE
7750,Amougies,Oui,Hainaut,FR_BE
4540,Ampsin,Oui,Liège,FR_BE
5300,ANDENNE,Non,Namur,FR_BE
